企业名称,招聘岗位,工作城市,最低月薪,最高月薪,职位描述,学历要求,要求经验,招聘类别,初级分类,学历要求_排序,要求经验_排序,平均月薪,薪资浮动,薪资等级,企业规模,行业类型,年终奖估算
中电信数智科技有限公司海南分公司,高级Java开发工程师,海口,15000.0,19000.0,1、专业基础扎实  2、计算机、软件相关专业  3、对研发有浓厚的兴趣  4、可以独立完成研发功能  5、主要语言java  6、有多年的研发经验，善于解决问题和分析场景，采用好的技术方案  7、对spring boot、tomcat、mysql分布式数据库、spring 微服务、mybatis有一定了解  熟练使用spring全家桶，对读写分离后端开发，以及大流量访问集群配置，redis缓存有所了解,本科,5-10年,全职,计算机软件,5,3,17000.0,4000.0,12K-20K,大中型企业,IT互联网,2000.0
山西世恒铁路技术有限公司,硬件工程师,太原,6000.0,10000.0,"要求：1、计算机、通信、电子类等相关专业本科以上学历，应届也可以

2、熟悉数字、模拟电路设计，能够熟练使用各类仪器仪表

3、有FPGA设计经验，有使用ALTERA系列FPGA者优先，技术水平高的工资面议

4、良好的分析、学习能力，良好的团队合作精神，善于沟通以及高度的责任心

5、具有吃苦耐劳精神，能根据进度需要加班或者出差
 年薪：9-15万+/年福利：五险一金、商业险、年终奖、职称津贴、周期性加薪、餐补、出差补助、话费补助、带薪年假、法定节假日、双休、差后调休、节假日福利、定期培训、定期体检、集体旅游",本科,经验不限,全职,计算机软件,5,5,8000.0,4000.0,8K-12K,大中型企业,IT互联网,2000.0
北京久其软件股份有限公司,Java软件工程师,北京,13000.0,20000.0,"岗位职责：  1、了解产品需求或业务方案，完成系统功能定义，程序设计；  2、根据业务需要，完成公司产品代码编写；  3、分析并解决软件开发过程中的问题；  4、配合项目经理完成相关任务目标 。  
  任职资格：  1、计算机相关专业本科及以上学历，1年以上工作经验；  2、熟练掌握j2ee主流开发技术，熟悉后台业务逻辑研发，具备面向对象编程思想；  3、使用过Oracle、MySQL其中一种数据库，熟练编写SQL语句。",本科,1-3年,全职,IT服务,5,1,16500.0,7000.0,12K-20K,大中型企业,IT互联网,3500.0
山西世恒铁路技术有限公司,技术支持/售后技术,太原,4000.0,6000.0,"本职位要求常年驻外出差，出差范围全国，不能出差者请勿投！

要求：

１.大专及以上学历，熟练掌握计算机的相关知识，计算机综合能力较强，会安装电脑的操作系统，能排除一些系统的常见故障，熟练网络、系统、电路等知识。

２.有较好的沟通和理解能力，勤奋吃苦，有责任心，能适应长期出差（出差范围全国）

职责：主要从事铁路安全监测、检测设备的软件实施，硬件设备安装、调试、维护和客户的培训等工作。

本职位要求常年驻外出差，出差范围全国，不能出差者请勿投！",大专,经验不限,全职,计算机软件,4,5,5000.0,2000.0,5K-8K,大中型企业,IT互联网,1000.0
山西世恒铁路技术有限公司,嵌入式硬件工程师,太原,8000.0,10000.0,"要求：1、计算机、通信、电子类等相关专业本科以上学历，2年以上硬件产品开发经验；2、熟悉数字、模拟电路设计，熟练使用主流PCB电路设计软件，能够熟练使用各类仪器仪表；3、有MCU、ARM等处理器设计经验，具有使用TI、LPC处理器经验者优先；4、对嵌入式系统有一定了解，有Linux嵌入式移植相关工作经验；5、英语良好，能熟练阅读英语技术文档，良好的分析、学习能力，良好的团队合作精神，善于沟通以及高度的责任心，有吃苦耐劳精神，能根据进度需要主动加班或者出差。 年薪：9-15万+/年福利：五险一金、商业险、年终奖、职称津贴、周期性加薪、餐补、出差补助、话费补助、带****************
薪年假、法定节假日、双休、差后调休、节假日福利、定期培训、定期体检、集体旅游",本科,1-3年,全职,计算机软件,5,1,9000.0,2000.0,8K-12K,大中型企业,IT互联网,1000.0
合肥常创信息科技有限公司,初级Java开发软件工程师,合肥,4000.0,6000.0,"职责描述：  主要从事web应用程序开发。  职位要求：  熟悉Weblogic，Jboss，Tomact服务器  熟练应用 HTML, CSS, JavaScript ，Java语言  熟练使用 JSP, Servlet, XML and Struts框架  熟练使用 Eclipse等IDE软件  熟练使用SQL 与 RDBMS 工具，如ORACLE, SQL SERVER    有日语阅读能力者优先。  欢迎有实习经验的优秀毕业生投简历！  薪资范围：    根据技术能力，薪资范围：4000-6000/月",本科,经验不限,全职,计算机软件,5,5,5000.0,2000.0,5K-8K,大中型企业,IT互联网,1000.0
宁夏隆基宁光仪表股份有限公司,系统软件设计（Web开发工程师）,银川,6000.0,7000.0,"岗位职责：1、负责公司软件产品的前端界面设计和编程；
2、负责从视觉和操作层面对公司软件的页面风格、布局、内容和操作流程等方面进行设计、开发及维护；
结合用户体验，优化完善设计流程，高质量完成产品设计。任职要求：1、大学本科及以上学历，三十岁以下。
2、从事相关工作3年以上；
3、精通Java语言开发，对OODOOP有深刻的理解；
4、熟练掌握Web标准，HTML、XHTML、CSS、JavaScript、Ajax等前端技术；
5、熟练使用JQuery、ExtJS等前端框架；
6、熟悉webservice、Socket通讯等进行数据交互机制，熟悉json和xml格式的解析；
参与过中大型项目开发工作优先考虑。薪酬待遇：
1、薪酬待遇：6K-10K元/月，并享有年终奖，综合能力强者，薪酬面议；
公司福利：
1、公司依岗定薪，以绩取酬，并根据企业经济效益加薪，享有年终奖、午餐补贴、交通补贴、带薪年假；
2、缴纳五险一金；
3、配备员工宿舍、通勤车、清真餐厅；
4、公司注重员工个人职业发展，提供相应的晋升通道，解决个人长期发展问题。

    搜索马 克 数 据 网",本科,经验不限,全职,仪器仪表制造,5,5,6500.0,1000.0,5K-8K,大中型企业,制造业,500.0
泰康人寿保险有限责任公司湖北分公司(江南区部),金融产品经理,武汉,15000.0,30000.0,"泰康HWP健康财富规划师职位描述: 公司正在建设全国性的高端连锁养老社区和高端连锁三甲医院，泰康健康财富规划师正式获批国家职业资质，填补了健康财富管理专业化培训与认证的空白，泰康依托“活力养老、高端医疗、卓越理财、颐养关怀”四位一体的商业模式，创新性地将虚拟的保险与实体的医养社区相结合，打造超脱于传统寿险的全方位服务客户模式。为客户做综合健康财富的规划，范围涉及到对健康、养老、医疗、财富的管理和传承。需要通过专业系统的培训（全免费）认证成为合格HWP，并组建和管理专业销售团队，服务于中高端客户。
岗位要求：25-45岁，大专及以上学历
2.渴望事业有突破发展、追求高收入的成功人士；
3.希望转型的睿智精英
4.拥有良好的教育背景，金融、医学、教培等经验丰富的销售人才
5.高端成功人士，过往年薪12万以上
工作时间：
周一至周五，早8.30-11.30，不加班，节假日双休。微信公众号马克数据网",大专,1-3年,全职,保险,4,1,22500.0,15000.0,20K-30K,中小型企业,金融,7500.0
国机工业互联网研究院(河南)有限公司,Java开发工程师,郑州,10000.0,20000.0,"工作职责：根据系统原型设计方案和功能需求规格书，参与系统部分模块的代码开发、维护和升级工作，并配合测试，以实现项目/产品部分功能，为客户提供良好的使用体验。

工作内容：

1. 负责公司项目java服务器端开发或维护； 

2. 参与产品策划、技术路线制定以及对项目可行性评估； 

3. 实现产品既定系统功能和业务逻辑的开发和代码优化； 

4. 与团队人员协作协作共同解决技术难题； 

任职资格:

1. 2年以上java服务器端开发经验，基础扎实，熟悉面向对象思想； 

2. 熟悉Spring/MyBatis/Dubbo/Spring Cloud等主流的开发框架，并对其设计与运行机制有一定了解； 

3.熟悉常用的中间件、分布式技术（如RPC框架、缓存、消息系统等）；

4. 熟悉分布式、高并发系统设计，有实际分布式系统设计经验；

5.富有团队精神,责任感和沟通能力；",本科,1-3年,全职,IT服务,5,1,15000.0,10000.0,12K-20K,大中型企业,IT互联网,5000.0
江苏中矿安华科技发展有限公司,Java开发工程师,徐州,8000.0,15000.0,"更多数据：www.macrodatas.cn      岗位要求：

1. 按照项目计划，按时独立完成部分模块的代码开发；

2. 独立对代码进行单元测试，保障代码质量；

3. 快速高效的修复测试部门提出的系统缺陷；

4. 根据客户需求和架构师的设计框架进行详细设计；

5. 按照规范要求，独立编写软件详细设计说明书和单元测试报告；

6. 根据项目要求，能适应驻场开发；

任职资格：

1.本科及以上学历，计算机科学或相关专业领域, 具备2年以上研发经验；

2.熟练掌握 Spring、SpringMVC、SpringBoot、SpringCloud、MyBatis、 MyBatis-Plus等主流开源框架；

3.熟练使用 IDEA、VSCode、 Postman等常用开发工具， 熟悉VUE等Web前端技术；

4.熟悉Redis， 了解ElasticSearch、 Nginx等技术组件；

5.有 uni - app ，微信小程序等开发经验者优化考虑；

6.有较强的分析复杂问题和解决复杂问题的能力，有强烈的责任心和使命感；

7.有煤矿行业、智慧矿山等相关产品研发经验者优先；

8.具有项目管理经验者优先考虑。",大专,经验不限,全职,计算机软件,4,5,11500.0,7000.0,8K-12K,大中型企业,IT互联网,3500.0
